当前模型,准确率,预测耗时,学习率,hidden size,batch size,pooling style
fast_text,0.88,4364,0.001,64,64,avg
fast_text,0.82,11197,0.001,64,64,max
fast_text,0.87,9343,0.001,64,128,avg
fast_text,0.83,4987,0.001,64,128,max
fast_text,0.87,3757,0.001,128,64,avg
fast_text,0.83,5011,0.001,128,64,max
fast_text,0.87,5749,0.001,128,128,avg
fast_text,0.83,5370,0.001,128,128,max
fast_text,0.56,5030,1e-05,64,64,avg
fast_text,0.52,7314,1e-05,64,64,max
fast_text,0.55,5908,1e-05,64,128,avg
fast_text,0.52,6261,1e-05,64,128,max
fast_text,0.59,3464,1e-05,128,64,avg
fast_text,0.53,5540,1e-05,128,64,max
fast_text,0.6,4062,1e-05,128,128,avg
fast_text,0.52,5392,1e-05,128,128,max
lstm,0.87,47265,0.001,64,64,avg
lstm,0.85,42809,0.001,64,64,max
lstm,0.88,39074,0.001,64,128,avg
lstm,0.83,30010,0.001,64,128,max
lstm,0.83,53229,0.001,128,64,avg
lstm,0.84,50621,0.001,128,64,max
lstm,0.88,440189,0.001,128,128,avg
lstm,0.82,413599,0.001,128,128,max
lstm,0.5,250188,1e-05,64,64,avg
lstm,0.5,288115,1e-05,64,64,max
lstm,0.51,262227,1e-05,64,128,avg
lstm,0.5,268761,1e-05,64,128,max
lstm,0.5,431166,1e-05,128,64,avg
lstm,0.5,426166,1e-05,128,64,max
lstm,0.5,419776,1e-05,128,128,avg
lstm,0.5,430156,1e-05,128,128,max
gru,0.87,240738,0.001,64,64,avg
gru,0.81,213564,0.001,64,64,max
gru,0.89,208996,0.001,64,128,avg
gru,0.84,195438,0.001,64,128,max
gru,0.88,376741,0.001,128,64,avg
gru,0.86,362451,0.001,128,64,max
gru,0.91,317183,0.001,128,128,avg
gru,0.84,374623,0.001,128,128,max
gru,0.5,227304,1e-05,64,64,avg
gru,0.5,221669,1e-05,64,64,max
gru,0.5,223650,1e-05,64,128,avg
gru,0.5,215369,1e-05,64,128,max
gru,0.7,316208,1e-05,128,64,avg
gru,0.68,315396,1e-05,128,64,max
gru,0.51,343009,1e-05,128,128,avg
gru,0.5,342221,1e-05,128,128,max
rnn,0.83,96944,0.001,64,64,avg
rnn,0.86,100194,0.001,64,64,max
rnn,0.85,79152,0.001,64,128,avg
rnn,0.82,86444,0.001,64,128,max
rnn,0.87,118699,0.001,128,64,avg
rnn,0.84,124248,0.001,128,64,max
rnn,0.9,106729,0.001,128,128,avg
rnn,0.85,126650,0.001,128,128,max
rnn,0.51,104515,1e-05,64,64,avg
rnn,0.52,110272,1e-05,64,64,max
rnn,0.5,97195,1e-05,64,128,avg
rnn,0.5,98408,1e-05,64,128,max
rnn,0.76,121451,1e-05,128,64,avg
rnn,0.73,126247,1e-05,128,64,max
rnn,0.6,115469,1e-05,128,128,avg
rnn,0.57,112838,1e-05,128,128,max
cnn,0.9,55126,0.001,64,64,avg
cnn,0.83,50927,0.001,64,64,max
cnn,0.89,39180,0.001,64,128,avg
cnn,0.89,38594,0.001,64,128,max
